,speaker,utterance,prevId,episode_name
0,Rachel,Pheebs? Could you get that? Please?,-1.0,S05E23
1,Phoebe,Why? Just 'cause you're too lazy to get up off your touchie?,0.0,S05E23
2,Rachel,No! No! It's just that all the people in the entire world that I want to talk to are right here.,1.0,S05E23
3,Phoebe, Okay! ,2.0,S05E23
4,Rachel, Sucker!,3.0,S05E23
5,Phoebe, Hello?  Hey Joey!,4.0,S05E23
6,Joey,"Hey Pheebs! Listen, uh can you do me a favor? I forgot the pin number to my ATM card can, can you get it for me?",5.0,S05E23
7,Phoebe,Sure! Where is it?,6.0,S05E23
8,Joey,"Uh, I scratched it on the ATM machine down on the corner.",7.0,S05E23
9,Phoebe,Ohh! So you're 5639?!,8.0,S05E23
10,Joey,That's it! Thanks Pheebs!,9.0,S05E23
11,Chandler, Hey!,10.0,S05E23
12,Phoebe," Ooh, do you want to talk to Chandler?",11.0,S05E23
13,Chandler, Is that Joey?!  Let me talk to him!,12.0,S05E23
14,Joey,No!  Because he didn't believe in my movie! Which is a big mistake because it is real! Real!,13.0,S05E23
15,A Casino Boss,Hey! Tribbiani! Get back to work! Break time's over!,14.0,S05E23
16,Phoebe,Who was that?,15.0,S05E23
17,Joey,"Uhh, my stunt double. Yeah, and y'know, he's getting a little too familiar for my tastes.",16.0,S05E23
18,Chandler," Y'know what? I have been trying to apologize to him all week! If he's not gonna let me do it on the phone, I'm gonna go down there and do it in person.",17.0,S05E23
19,Joey,"Uhh Pheebs, I heard that. Can you put him on?",18.0,S05E23
20,Phoebe,Yeah! ,19.0,S05E23
21,Chandler, Hey!,20.0,S05E23
22,Joey,Don't come out here!,21.0,S05E23
23,Chandler,"No-no-no-no, I've supported you one hundred percent and I want to prove that to you in person!",22.0,S05E23
24,Joey,I got that! I forgive ya! Don't come out here!,23.0,S05E23
25,Chandler,Forgive me? You haven't been taking my calls in a week!,24.0,S05E23
26,Joey,"Well, I'm totally over it Chandler. Friends forever! Don't come out here!",25.0,S05E23
27,A Tourist, Would you mind doing a picture with us?,26.0,S05E23
28,Chandler,"Uh, what was that?",27.0,S05E23
29,Joey,"Uh, Entertainment Tonight. [Cut to Chandler] Yeah, okay so, good talking to ya and don't come out here. All right. ",28.0,S05E23
30,Phoebe,Monica! I'm sorry I'm late!  Monica? ,29.0,S05E23
31,Monica," Phoebe?  Oh, Phoebe, I'm so sorry. Have you been here long?",30.0,S05E23
32,Phoebe, It's okay. What the hell took you so long?,31.0,S05E23
33,Monica,"Okay, you can not tell Chandler. Okay? That I ran into Richard.",32.0,S05E23
34,Phoebe,Which Richard?,33.0,S05E23
35,Monica,The Richard.,34.0,S05E23
36,Phoebe,Richard Simmons?! Oh my God!,35.0,S05E23
37,Monica,"Noo! My ex-boyfriend Richard! Y'know the tall guy, moustache?",36.0,S05E23
38,Phoebe,"Oh! Okay, that actually makes more sense. So how was it?",37.0,S05E23
39,Monica,"It was, it was really nice. We started talking and I-I ended up having lunch with him.",38.0,S05E23
40,Phoebe,That is so weird! I had a dream that you'd have lunch with Richard.,39.0,S05E23
41,Monica,Really?,40.0,S05E23
42,Phoebe,"But again, Simmons. Go on.",41.0,S05E23
43,Monica,"The strange part was, he was really nice, umm and he looks great, but I didn't feel anything at all!",42.0,S05E23
44,Phoebe,Ooh! So now why can't we tell Chandler?,43.0,S05E23
45,Monica,Because it would totally freak him out and tomorrow's our anniversary. I just don't want anything to spoil that.,44.0,S05E23
46,Phoebe,"Oh, I can't believe you guys lasted a whole year!",45.0,S05E23
47,Monica,I know.,46.0,S05E23
48,Phoebe,Wow! I owe Rachel 20 bucks!,47.0,S05E23
49,Monica,What?,48.0,S05E23
50,Phoebe,On a totally different bet.,49.0,S05E23
51,Chandler, Hey!,50.0,S05E23
52,Monica,It's almost our anniversary!,51.0,S05E23
53,Chandler,I know. Can you believe it? One year ago today I was just your annoying friend Chandler.,52.0,S05E23
54,Phoebe,Awww! Now you're just my annoying friend Chandler.,53.0,S05E23
55,Chandler,Huh.,54.0,S05E23
56,Monica,I got you a present!,55.0,S05E23
57,Chandler,"Oh, but it's not 'til tomorrow!",56.0,S05E23
58,Monica,"I know, but you have to open it today! ",57.0,S05E23
59,Chandler,Okay.,58.0,S05E23
60,Monica, Okay! There you go! It's two tickets to Vegas!,59.0,S05E23
61,Chandler,Wow!,60.0,S05E23
62,Monica,"For this weekend! Oh gosh, it would be perfect, we get to see Joey plus we get to start our anniversary celebration on the plane. We can call it out plane-aversary.",61.0,S05E23
63,Chandler,Do we have to?,62.0,S05E23
64,Monica,No.,63.0,S05E23
65,Chandler,"Okay this is great, but Joey said he didn't want any of us out there.",64.0,S05E23
66,Monica,"Oh, he just doesn't want us to go through any trouble. Think of how excited he'll be when we go out and surprise him! Plus we get to have our own, ani-Vegas-ary! A-Nevadaversary!",65.0,S05E23
67,Chandler,"Yeah, I think we should see other people.",66.0,S05E23
68,Monica,"But we can go, right?",67.0,S05E23
69,Chandler,Yes.,68.0,S05E23
70,Monica,Okay!,69.0,S05E23
71,Chandler,It's a great idea. ,70.0,S05E23
72,Phoebe,"Okay, I'm gonna go too!",71.0,S05E23
73,Chandler,"Y'know Pheebs, it's kinda our  anniversary.",72.0,S05E23
74,Phoebe,"Oh please, you are not gonna ditch again like you did with London.",73.0,S05E23
75,Monica,"Ditch you? Phoebe, you were pregnant with the triplets!",74.0,S05E23
76,Phoebe,"Uh-huh, great story! I'm going!",75.0,S05E23
77,Rachel, Hi!,76.0,S05E23
78,Phoebe,Hey!,77.0,S05E23
79,Ross,Hey!,78.0,S05E23
80,Phoebe,"Hey, you guys, listen, this weekend we're all gonna go to Las Vegas to surprise Joey! Including me!! You wanna go?!",79.0,S05E23
81,Rachel,"Well, I guess I could take a couple days off work.",80.0,S05E23
82,Phoebe,Of course you can take a couple days off work because this trip includes me!,81.0,S05E23
83,Rachel,"Oh no, wait a minute, wait, I've got a presentation tomorrow. I can't miss that.",82.0,S05E23
84,Ross,"Oh, but I've got tickets to the Van Gogh exhibit! I've been waiting like a year for this.",83.0,S05E23
85,Chandler, Art lover!,84.0,S05E23
86,Ross,What'd you say?,85.0,S05E23
87,Chandler,I said art lover.,86.0,S05E23
88,Ross,Is that supposed to be an insult?,87.0,S05E23
89,Chandler,"I don't know, I'm very tired.",88.0,S05E23
90,Ross,"So Rach, maybe you and I could fly out together Saturday.",89.0,S05E23
91,Rachel,That sounds great.,90.0,S05E23
92,Ross,Yeah? All right I'll call the airlines. ,91.0,S05E23
93,Rachel,"Okay. Yeah, that would be nice actually, to have the apartment to myself for a night.",92.0,S05E23
94,Phoebe,"Oh yeah, so you can walk around naked.",93.0,S05E23
95,Rachel,No! So I can be by myself. Y'know? Have a little alone time.,94.0,S05E23
96,Phoebe,Naked alone time.,95.0,S05E23
97,Rachel,"No! Phoebe just because I'm alone doesn't mean I wanna walk around naked. I mean, you live alone, you don't walk around naked.",96.0,S05E23
98,Phoebe,Uh-huh! Why do you think it takes me so long to answer the door?,97.0,S05E23
99,Phoebe,"So, so far is this trip to Vegas better or worse than the trip to London?",98.0,S05E23
100,Chandler,So it's pretty much the same Pheebs.,99.0,S05E23
101,Phoebe,"Okay, what about after I give you these candies? ",100.0,S05E23
102,Chandler,"Yeah, I guess it's a little better now.",101.0,S05E23
103,Phoebe,"Ah-ha! Okay,  Las Vegas 1, London 0! I'll be right back. ",102.0,S05E23
104,Chandler, Happy plane-aversary.,103.0,S05E23
105,Monica,Aww! I love you!,104.0,S05E23
106,Chandler,Can I give you a present now?,105.0,S05E23
107,Monica,Okay!,106.0,S05E23
108,Chandler,Okay!  Oh man! Don't tell me I did this!,107.0,S05E23
109,Monica,I love the I forgot the present fake out!,108.0,S05E23
110,Chandler,"How do you feel about the, I really did forgot the present, please forgive me not fake out?",109.0,S05E23
111,Monica,"Oh that's okay. Don't worry about it, you can give it to me when we get back.",110.0,S05E23
112,Chandler,Ohh that's the worse thing that can happen on an anniversary ever!,111.0,S05E23
113,Phoebe," Oh good! All right, so you decided to tell him about the Richard thing.",112.0,S05E23
114,Chandler,What-what Richard thing?,113.0,S05E23
115,Phoebe,Oh no. [The patented version.],114.0,S05E23
116,Chandler,What Richard thing?,115.0,S05E23
117,Phoebe, Simmons! Go with Simmons!,116.0,S05E23
118,Monica,"Okay, I umm, I ran into Richard yesterday and he asked me if I wanted to go for a bite and I did. The only reason I didn't tell you is because I knew you'd get mad and I didn't want to spoil our anniversary.",117.0,S05E23
119,Chandler, I'm not mad.,118.0,S05E23
120,Monica,Really?!,119.0,S05E23
121,Chandler,"Oh yeah! Yeah, so you-you bumped into Richard! You grabbed a bite! It's no big deal. ",120.0,S05E23
122,Monica,Great!,121.0,S05E23
123,Phoebe,"Okay, London 1...",122.0,S05E23
124,Rachel," Oh! Look what happened! {Don't get your hopes up guys, we only get to see her from the back or from the neck up. Its times like these I wish that the networks would broadcast some nudity other than Denis Franz's butt.}  Huh, check me out! I'm in my kitchen...naked! I'm picking up an orange.  I'm naked!  Lighting the candles, naked, and carefully. ",123.0,S05E23
125,Ross," Oh my God! That's Rachel naked! I can't look at that! I am looking at this.  Okay, vivid colors, expressive brush strokes-Unless she wants me to be looking at that. She knows I'm home. She knows I can see her. What kind of game is she playing? I think maybe someone's lonely tonight. Oh-ho, Dr. Geller! Stop it! You're being silly! Or, am I?",124.0,S05E23
126,Rachel," Love to love ya baby! Ow! Love to love ya baby! Ow!  Love to love ya, baby!  Darnit!  Ugh. ",125.0,S05E23
127,Ross,Hey.,126.0,S05E23
128,Ross,May I come in?,127.0,S05E23
129,Rachel,"Uh, yeah, if you want too.",128.0,S05E23
130,Ross,Do you want me too?,129.0,S05E23
131,Rachel,"Yeah, sure?",130.0,S05E23
132,Ross,"So do I.  Okay Rach, before anything happens  I just want to lay down a couple of ground rules.  This is just about tonight. I don't to go through with this if it's going to raise the question of Us.  Okay? I just want this to be  about what it is! ",131.0,S05E23
133,Rachel,"And um, what-what is that Ross?",132.0,S05E23
134,Ross,The physical act of love. ,133.0,S05E23
135,Rachel, What?! Are you crazy?,134.0,S05E23
136,Ross,Oh so-so you weren't trying to entice me just now with your-your nakedness?,135.0,S05E23
137,Rachel," Oh God, you saw me?! Oh!",136.0,S05E23
138,Ross,You weren't trying to entice me with your nakedness.,137.0,S05E23
139,Rachel,"Noo!! No! You thought, you actually thought I wanted to have sex with you?!",138.0,S05E23
140,Ross,No! No!  No!  No-no-no-no. ,139.0,S05E23
141,Rachel,"Ohh wow! I'm sorry, but Ross you kicked off your shoes!",140.0,S05E23
142,Ross,"Can we, can we just forget this ever happened?",141.0,S05E23
143,Rachel,"Yes of course, absolutely! You're right. I'm sorry.",142.0,S05E23
144,Ross,Thank you.,143.0,S05E23
145,Rachel,Yes.,144.0,S05E23
146,Ross,"All right I guess I'm, gonna go pack. ",145.0,S05E23
147,Rachel,"Okay. Oh wait! One more thing umm, do-do we still need to uh settle the question of us?",146.0,S05E23
148,Phoebe,"Hey you guys wait! Guys!  This place is so much better than London! Okay? This lady dressed like Cleopatra gave me a coupon, 99 cent steak and lobster dinner. Huh!",147.0,S05E23
149,Monica,"Phoebe, you don't eat animals.",148.0,S05E23
150,Phoebe,"For 99 cents, I'd eat you.  Okay, I can totally settle down here. It's got everything I could ever want, including Joey! Look!  Oh! Look! Hi!",149.0,S05E23
151,Chandler,Oh my God.,150.0,S05E23
152,Phoebe,Hey! Joey!  Hey! Hey!! Wow! ,151.0,S05E23
153,Joey,Hi!,152.0,S05E23
154,Chandler,Love your condoms my man.,153.0,S05E23
155,Joey,What-what are you guys doing here? I thought I told you not to come.,154.0,S05E23
156,Phoebe,Why are you dressed as a gladiator?,155.0,S05E23
157,Joey,"Uhh, because I'm shooting a scene right now. Yeah, I uh, I play a gladiator. Uh, y'know what? Hold-hold on a second.  Can we cut? Yeah, my-my friends are here, I'm gonna take a little break.",156.0,S05E23
158,Monica,Who are you talking too?,157.0,S05E23
159,Joey,"They uh director. Uhh, her.  All right, all right, it's not a gladiator movie. I work here.",158.0,S05E23
160,Chandler,Why?! What happened?!,159.0,S05E23
161,Joey,"Well, the movie got shutdown because they ran out of money, so I'm working here 'til it starts up again, if it ever does.",160.0,S05E23
162,Monica,I'm so sorry.,161.0,S05E23
163,Joey,"Look, I'm sorry I didn't tell ya.  I'm sorry man.",162.0,S05E23
164,Chandler,"No-no, that's okay, apparently there's a new policy where we don't have to share everything with everybody.",163.0,S05E23
165,Monica,I knew you were not okay with that.,164.0,S05E23
166,Phoebe,So you're a gladiator! Wow!,165.0,S05E23
167,Joey,"Yeah, what-what's going on?",166.0,S05E23
168,Phoebe,Monica had lunch with Richard.,167.0,S05E23
169,Joey,Dawson?!,168.0,S05E23
170,Phoebe,Noo! But that would've been so cool!,169.0,S05E23
171,Chandler,No! Her boyfriend Richard!,170.0,S05E23
172,Monica,"It meant nothing! Okay? After all this time, how can you not trust me?",171.0,S05E23
173,Chandler,When you go lunching with hunky moustache men and don't tell me about it!,172.0,S05E23
174,Monica,You're right. I'm sorry. I should've told you.,173.0,S05E23
175,Chandler,Thanks. ,174.0,S05E23
176,Joey,"Aww, there we go.",175.0,S05E23
177,Phoebe,I love Vegas!,176.0,S05E23
178,Monica,"I promise you, next time I will absolutely tell you.",177.0,S05E23
179,Chandler, Next time?,178.0,S05E23
180,Joey,"Ooh, so close.",179.0,S05E23
181,Chandler,There's not gonna be a next time! You can not ever see him again!,180.0,S05E23
182,Monica,"I can not see him? I mean, you can't tell me what to do!",181.0,S05E23
183,Chandler,"That's so funny, because I think I just did!",182.0,S05E23
184,Monica,"Oh y'know what? If you're gonna be acting like this all night, I really, I don't even want to be around you.",183.0,S05E23
185,Chandler,Fine with me!,184.0,S05E23
186,Monica,Fine! Happy Anniversary!,185.0,S05E23
187,Joey,Whoa! Whoa! Guys! Please! Come on! Come on! This is obviously just a big misunderstanding.,186.0,S05E23
188,Monica,No it is not!,187.0,S05E23
189,Chandler,What are you talking...,188.0,S05E23
190,Joey,Hey-hey don't look at me! I just work here! ,189.0,S05E23
191,Rachel," Okay umm, Ross? I'm-I'm really warm, so I'm going to be taking off my sweater. Now, I'm just letting you know that this is not an invitation to the physical act of love.",190.0,S05E23
192,Ross, Yep! That's hilarious!,191.0,S05E23
193,Rachel,I'm sorry. I'm done. I'm done.,192.0,S05E23
194,Ross,"Y'know, last night was embarrassing for you too.",193.0,S05E23
195,Rachel,"No, not really. I mean you've seen me naked hundreds of times.",194.0,S05E23
196,Ross,Uh-huh. But it was a first for the rest of my building.,195.0,S05E23
197,Rachel,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",196.0,S05E23
198,Ross,What?! You totally get embarrassed!,197.0,S05E23
199,Rachel,"No, I don't! Ross, I think I'm just a more secure person than you are.",198.0,S05E23
200,Ross,Is that so?,199.0,S05E23
201,Rachel,Yeah.,200.0,S05E23
202,Ross, Hey lady! I don't care how much you want it! Okay?! I am not gonna to have sex with you in the bathroom! ,201.0,S05E23
203,Joey,"Hey, y'know in Roman times this was more than just a hat.",202.0,S05E23
204,Chandler,Really?,203.0,S05E23
205,Joey,"Yeah, sure! Sure! They would uh, they would scrub the floors with it! They would use it to get the mud off their shoe. And sometimes underneath the horse would get dirty so they would stick it right...",204.0,S05E23
206,Chandler," Joey, I uh! I can't believe this is how I'm spending my anniversary.",205.0,S05E23
207,Joey,"All right well, I'll take you someplace nice then. Look! A guy tipped me a hundred bucks today.",206.0,S05E23
208,Chandler,Whoa!,207.0,S05E23
209,Joey,"Yeah-yeah, he was playing blackjack for like an hour and he won $5,000. Can you believe that? $5,000!",208.0,S05E23
210,Chandler,"Y'know, if I won $5,000 I'd join a gym, y'know build up my upper body and hit Richard from behind with a stick! ",209.0,S05E23
211,Joey,"Wait a minute! Why don't I do what that guy did? I'll take this $100 and turn it into $5,000! And then I'll turn that into enough money to get my movie going again!",210.0,S05E23
212,Chandler,Good luck!,211.0,S05E23
213,Joey,Chandler! I don't need luck. I have thought this through!,212.0,S05E23
214,Chandler,I see.,213.0,S05E23
215,Monica, Thank you.,214.0,S05E23
216,Phoebe,Thanks.,215.0,S05E23
217,Monica,I can't believe this! This is like the worst night ever!,216.0,S05E23
218,Phoebe,Y'know Monica you had a minor setback in your relationship with Chandler. Big deal! It's only Chandler.  I am so sorry.,217.0,S05E23
219,Monica,"This is crazy! I mean, it's such a stupid argument. I don't even wanna see Richard again.",218.0,S05E23
220,Phoebe,So go fix it! Go find Chandler! He's probably up in your room! Tell him that you're sorry and that you love him.,219.0,S05E23
221,Monica,Y'know what? You're right Phoebe. You're right. Thank you! ,220.0,S05E23
222,Phoebe,"Sure!   Yeah! Las Vegas, number one!",221.0,S05E23
223,Monica,Anybody lose this? ,222.0,S05E23
224,The Croupier,Comin' out. Place your bet.  Dice are out.  Double or nothin'! Pay the front line! ,223.0,S05E23
225,Monica,Hmm.,224.0,S05E23
226,Guy," So uh, I'm on my way back to the bathroom. ",225.0,S05E23
227,Rachel,"Yeah, all right. All right! Just keep walkin'! All right?",226.0,S05E23
228,Rachel,"Ross! What are you... I'm sorry sir. I just, I think he just really likes you.",227.0,S05E23
229,Ross, Hey! Y'know that teacher who had a baby with her student? ,228.0,S05E23
230,Ross,What the? What...,229.0,S05E23
231,Rachel, Hi!,230.0,S05E23
232,The Flight Attendant,Miss? May I help you?,231.0,S05E23
233,Rachel,"Yes, I'm sorry. Do you have any extra pants? Umm, my friend seems to have had a little accident.",232.0,S05E23
234,Joey, Can I change a hundred? ,233.0,S05E23
235,Blackjack Dealer,Changing one hundred!  Good luck sir.,234.0,S05E23
236,Joey, Let's ride.,235.0,S05E23
237,Blackjack Dealer, 13.,236.0,S05E23
238,Joey,Hit me!  Ohh man!  Wait! ,237.0,S05E23
239,Joey,Chandler! You are not gonna believe this! I have found my identical hand twin!,238.0,S05E23
240,Chandler, What?,239.0,S05E23
241,Joey,My identical hand twin!,240.0,S05E23
242,Chandler,What's an identical hand twin?,241.0,S05E23
243,Joey,"What's it sound like? It's a guy with my identical hands! It was incredible! Chandler, the dealer's hands were exactly like me! It-it was like looking at my hands in a mirror!",242.0,S05E23
244,Chandler,Are you sure you weren't  looking at your hands in a mirror?,243.0,S05E23
245,Joey,Don't you see what this means?! I can forget about that stupid movie. I'm gonna be a millionaire!,244.0,S05E23
246,Chandler, How?,245.0,S05E23
247,Joey,"Look, I don't have it all worked out yet, but it's gotta mean big money! Come on! Identical hands!",246.0,S05E23
248,Chandler,"Again I must go back to, how?",247.0,S05E23
249,Joey,"This is Vegas man! People will pay to see freaky stuff! Okay, how much would you pay to see this hand  twice? Huh?",248.0,S05E23
250,Chandler," Y'know, I-I can't really put a price on that Joe.",249.0,S05E23
251,Joey,"Hey, are you unsupporting me again?",250.0,S05E23
252,Chandler,"No! No! I support you 100%! I just didn't, I didn't get it right away. Y'know now I'm caught up! Identical hand twins! It's a million-dollar idea!",251.0,S05E23
253,Phoebe,Hey!,252.0,S05E23
254,Joey,Pheebs!!,253.0,S05E23
255,Phoebe,Yeah?,254.0,S05E23
256,Joey,I found my identical hand twin!,255.0,S05E23
257,Phoebe,"Ohh, you are so lucky!  Hey! So, where's Monica? Did you guys make up?",256.0,S05E23
258,Chandler,No!,257.0,S05E23
259,Phoebe,But she just came up here!,258.0,S05E23
260,Chandler,That was Joey!,259.0,S05E23
261,Phoebe,I wonder where she is. That is so weird.,260.0,S05E23
262,Chandler,"Yeah, well, she's probably talking to Richard.",261.0,S05E23
263,Phoebe,Would you stop that! Do you wanna know the first thing she said when she came back from her lunch with Richard? She didn't feel anything for him. She loves you!,262.0,S05E23
264,Chandler,Really?,263.0,S05E23
265,Phoebe,"Yes! Now, she feels terrible! She really wants to make up! You gotta find her.",264.0,S05E23
266,Chandler,Okay. ,265.0,S05E23
267,Phoebe,Good.  I should really start wearing hats!,266.0,S05E23
268,The Flight Attendant, Welcome to Las Vegas.,267.0,S05E23
269,The Flight Attendant, Thank you!  Enjoy your flight?,268.0,S05E23
270,Rachel,"Yes, I did. Thank you very much, it was excellent. ",269.0,S05E23
271,The Flight Attendant, Hope you had a nice flight.,270.0,S05E23
272,Ross,"Ohh, it was the best!",271.0,S05E23
